impact_category,powertrain,year,vehicle_stage,size,value,impact_value,unit
agricultural land occupation,BEV,2024,maintenance,Small,0,0.000521588010655522,square meter-year
agricultural land occupation,BEV,2024,EoL,Small,0,23.75805943103449,square meter-year
agricultural land occupation,BEV,2024,road,Small,0,0.0011014815208577533,square meter-year
agricultural land occupation,BEV,2024,direct - non-exhaust,Small,0,0.0,square meter-year
agricultural land occupation,BEV,2024,direct - exhaust,Small,0,0.0,square meter-year
agricultural land occupation,ICEV-p,2024,glider,Small,0,423.3555303296299,square meter-year
agricultural land occupation,ICEV-p,2024,powertrain,Small,0,72.09966318889624,square meter-year
agricultural land occupation,ICEV-p,2024,energy storage,Small,0,2.8342932133319505,square meter-year
agricultural land occupation,ICEV-p,2024,energy chain,Small,0,0.00035299937431648146,square meter-year
agricultural land occupation,ICEV-p,2024,maintenance,Small,0,0.0004114068952409329,square meter-year
agricultural land occupation,ICEV-p,2024,EoL,Small,0,4.951333056750569,square meter-year
agricultural land occupation,ICEV-p,2024,road,Small,0,0.001011904442758435,square meter-year
agricultural land occupation,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,square meter-year
agricultural land occupation,ICEV-p,2024,direct - exhaust,Small,0,0.0,square meter-year
climate change,BEV,2024,glider,Small,0,8578.683896207453,kg CO2-Eq.
climate change,BEV,2024,powertrain,Small,0,1948.9211330180901,kg CO2-Eq.
climate change,BEV,2024,energy storage,Small,0,5631.568966000915,kg CO2-Eq.
climate change,BEV,2024,energy chain,Small,0,0.0022171064305631285,kg CO2-Eq.
climate change,BEV,2024,maintenance,Small,0,0.008940027459195752,kg CO2-Eq.
climate change,BEV,2024,EoL,Small,0,1078.003969270668,kg CO2-Eq.
climate change,BEV,2024,road,Small,0,0.01839469893493469,kg CO2-Eq.
climate change,BEV,2024,direct - non-exhaust,Small,0,0.0,kg CO2-Eq.
climate change,BEV,2024,direct - exhaust,Small,0,0.0,kg CO2-Eq.
climate change,ICEV-p,2024,glider,Small,0,7256.895121577867,kg CO2-Eq.
climate change,ICEV-p,2024,powertrain,Small,0,1728.8773409151042,kg CO2-Eq.
climate change,ICEV-p,2024,energy storage,Small,0,88.70574236603366,kg CO2-Eq.
climate change,ICEV-p,2024,energy chain,Small,0,0.02645287317051644,kg CO2-Eq.
climate change,ICEV-p,2024,maintenance,Small,0,0.007051521248991102,kg CO2-Eq.
climate change,ICEV-p,2024,EoL,Small,0,731.2906206792904,kg CO2-Eq.
climate change,ICEV-p,2024,road,Small,0,0.0160721786793795,kg CO2-Eq.
climate change,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,kg CO2-Eq.
climate change,ICEV-p,2024,direct - exhaust,Small,0,0.14052550581842044,kg CO2-Eq.
fossil depletion,BEV,2024,glider,Small,0,2531.684008018934,kg oil-Eq.
fossil depletion,BEV,2024,powertrain,Small,0,540.5798758598091,kg oil-Eq.
fossil depletion,BEV,2024,energy storage,Small,0,2288.463637605549,kg oil-Eq.
fossil depletion,BEV,2024,energy chain,Small,0,0.0005095638872706379,kg oil-Eq.
fossil depletion,BEV,2024,maintenance,Small,0,0.0038588749090472103,kg oil-Eq.
fossil depletion,BEV,2024,EoL,Small,0,110.66775351920703,kg oil-Eq.
fossil depletion,BEV,2024,road,Small,0,0.009097630474333289,kg oil-Eq.
fossil depletion,BEV,2024,direct - non-exhaust,Small,0,0.0,kg oil-Eq.
fossil depletion,BEV,2024,direct - exhaust,Small,0,0.0,kg oil-Eq.
fossil depletion,ICEV-p,2024,glider,Small,0,2151.743111122126,kg oil-Eq.
fossil depletion,ICEV-p,2024,powertrain,Small,0,497.82824762386423,kg oil-Eq.
fossil depletion,ICEV-p,2024,energy storage,Small,0,69.73202574856492,kg oil-Eq.
fossil depletion,ICEV-p,2024,energy chain,Small,0,0.05473201901183199,kg oil-Eq.
fossil depletion,ICEV-p,2024,maintenance,Small,0,0.003043719780788337,kg oil-Eq.
fossil depletion,ICEV-p,2024,EoL,Small,0,19.838812273737403,kg oil-Eq.
fossil depletion,ICEV-p,2024,road,Small,0,0.007709538058369516,kg oil-Eq.
fossil depletion,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,kg oil-Eq.
fossil depletion,ICEV-p,2024,direct - exhaust,Small,0,0.0,kg oil-Eq.
freshwater eutrophication,BEV,2024,glider,Small,0,5.0870750416710155,kg P-Eq.
freshwater eutrophication,BEV,2024,powertrain,Small,0,1.9736657086025147,kg P-Eq.
