person_id,driving
2354560,47462.43768
2353911,47458.99608
2857347,47451.18018
199983,47380.04558
2784209,47376.95422
3610590,47369.54877
66686,47338.87
818513,47320.89987
1333117,47300.52698
1215719,47297.52656
2894205,47267.74558
2370963,47252.9489
1409585,47215.44235
114123,47203.91107
45565,47199.85139
34864,47193.19465
2340482,47182.75672
2318162,47178.51475
2355325,47144.83044
3274704,47126.23317
2351705,47123.30906
2840074,47121.31119
332442,47100.90806
2189934,47088.92136
2377565,47070.00466
2356072,47069.75993
3980769,47067.73995
2714766,47043.44285
3980770,47031.32272
1844638,46951.26182
2778361,46919.47245
2387111,46914.20713
1881937,46908.53171
2367870,46865.49887
2014873,46860.08554
2318551,46813.94127
2267243,46801.47374
1332498,46799.94719
1231483,46720.22798
1929656,46694.42631
3372240,46684.53621
66289,46675.42851
2710926,46670.98414
2263538,46662.14268
3372199,46623.38005
1245658,46621.87503
2900926,46593.74135
2054584,46580.12601
2723444,46568.72592
1174080,46530.49735
1147192,46529.67005
1236415,46517.88037
3247628,46504.89076
2594421,46502.19653
2876484,46487.44204
261258,46481.00505
2477325,46450.71699
2865660,46438.99615
3126916,46433.15158
4013966,46433.12544
885117,46399.80218
1372151,46370.27927
2669731,46364.10722
2355606,46334.0167
2370073,46320.28755
1337919,46293.55905
1127725,46287.49188
92070,46283.18018
1241859,46247.60931
1188481,46239.10162
3069700,46238.55017
1180341,46205.73206
2356734,46201.13262
1401033,46180.65281
2368059,46175.43846
12755,46159.55792
1163270,46134.79149
3004324,46131.50379
1151531,46113.05203
857017,46102.33394
998222,46101.76299
2777902,46098.48288
235005,46071.62864
2895428,46046.74557
2721143,46026.65453
2746950,46024.52421
2865610,45987.38437
2201158,45963.27728
2896539,45950.9639
1353362,45949.65597
67880,45947.37846
54043,45940.49321
1047,45935.63603
1099332,45911.57395
1235185,45906.99616
1758570,45903.21215
2898485,45898.85053
1252482,45864.91734
1459727,45840.95882
1354415,45839.46583
1959671,45811.79824
3995179,45778.37165
